Freq_COPD	Freq_Control	p-value	FDR
MI0003598_MIMAT0003251	0.0005127829463043	0.0026525198938992	0.195870995877005	0.985059959847462
MI0000081_MIMAT0004497	0.0001465094132298	0.0026525198938992	0.0784825509853909	0.564638352922673
MI0019295_MIMAT0022482	0.0002197641198447	0.0026525198938992	0.103253465657655	0.677029053299562
MI0000764_MIMAT0000707	7.32547066149e-05	0.0026525198938992	0.0530292519687225	0.429205508121847
MI0003123_MIMAT0004763	0.0002197641198447	0.0026525198938992	0.103253465657655	0.677029053299562
MI0000816_MIMAT0004703	0.0004395282396894	0.0026525198938992	0.173651952007585	0.95546947392845
MI0003601_MIMAT0004800	0.0001465094132298	0.0026525198938992	0.0784825509853909	0.564638352922673
MI0003600_MIMAT0004800	0.0001465094132298	0.0026525198938992	0.0784825509853909	0.564638352922673
MI0002467_MIMAT0002173	0.0001465094132298	0.0026525198938992	0.0784825509853909	0.564638352922673
MI0000762_MIMAT0004683	7.32547066149e-05	0.0026525198938992	0.0530292519687225	0.429205508121847
MI0017290_MIMAT0019731	0	0.0026525198938992	0.0268748217850014	0.24001996007984
MI0016078_MIMAT0018101	0	0.0026525198938992	0.0268748217850014	0.24001996007984
MI0003642_MIMAT0004809	0	0.0026525198938992	0.0268748217850014	0.24001996007984
MI0005562_MIMAT0004951	0	0.0026525198938992	0.0268748217850014	0.24001996007984
MI0003667_MIMAT0003322	0	0.0026525198938992	0.0268748217850014	0.24001996007984
MI0006384_MIMAT0005901	0	0.0026525198938992	0.0268748217850014	0.24001996007984
MI0000101_MIMAT0004511	0	0.0026525198938992	0.0268748217850014	0.24001996007984
MI0009986_MIMAT0009451	0	0.0026525198938992	0.0268748217850014	0.24001996007984
MI0000091_MIMAT0004506	0	0.0026525198938992	0.0268748217850014	0.24001996007984
MI0005524_MIMAT0004902	0.0064464141821112	0	0.178426868645964	0.95546947392845
MI0000782_MIMAT0004688	0.0004395282396894	0	1	1
MI0000282_MIMAT0004563	0.0026371694381364	0	1	1
MI0000242_MIMAT0000232	0.0026371694381364	0	1	1
MI0000281_MIMAT0000232	0.0026371694381364	0	1	1
MI0003529_MIMAT0000729	0.0024174053182917	0	1	1
MI0000784_MIMAT0000729	0.0024174053182917	0	1	1
MI0000290_MIMAT0004564	0.0027836788513662	0	0.626794524143486	1
