Freq_COPD	Freq_Control	p-value	FDR
MI0002471_MIMAT0002178	0.00571760829537746	0	0.273547244210212	1
MI0000472_MIMAT0000446	0.00562069968020157	0	0.271325656612665	1
MI0019115_MIMAT0022258	0.00562069968020157	0.013262599469496	0.0706350707429689	0.530744073221475
MI0000811_MIMAT0004699	0.00552379106502568	0.00795755968169761	0.470395193491518	1
MI0000816_MIMAT0000765	0.00552379106502568	0	0.269379457997742	1
MI0003132_MIMAT0003161	0.00542688244984979	0.00530503978779841	1	1
MI0003667_MIMAT0003322	0.00523306521949801	0.0026525198938992	1	1
MI0000681_MIMAT0000646	0.00523306521949801	0.00530503978779841	1	1
MI0001641_MIMAT0001536	0.00513615660432212	0	0.264551577031679	1
MI0000263_MIMAT0000252	0.00503924798914623	0	0.264135724253555	1
MI0003832_MIMAT0005799	0.00503924798914623	0	0.264135724253555	1
MI0000088_MIMAT0000088	0.00494233937397035	0.026525198938992	4.75292784612615e-05	0.0016070837279714
MI0000265_MIMAT0000252	0.00484543075879446	0	0.423536262773409	1
MI0000264_MIMAT0000252	0.00484543075879446	0	0.423536262773409	1
MI0003133_MIMAT0002814	0.00484543075879446	0	0.423536262773409	1
MI0000253_MIMAT0000243	0.00484543075879446	0	0.423536262773409	1
MI0000283_MIMAT0000264	0.00474852214361857	0	0.420061725687843	1
MI0003123_MIMAT0004763	0.00474852214361857	0.0026525198938992	1	1
MI0000822_MIMAT0000770	0.00465161352844268	0	0.416866013947605	1
MI0000274_MIMAT0000262	0.00465161352844268	0	0.416866013947605	1
MI0000474_MIMAT0000447	0.00455470491326679	0	0.413965319561738	1
MI0000437_MIMAT0000416	0.00455470491326679	0	0.413965319561738	1
MI0006430_MIMAT0005799	0.0044577962980909	0	0.411376322395811	1
MI0000252_MIMAT0000242	0.00426397906773912	0	0.407202591929041	1
MI0000434_MIMAT0000415	0.00426397906773912	0.00795755968169761	0.229483352485032	1
MI0000651_MIMAT0000416	0.00426397906773912	0	0.407202591929041	1
MI0000805_MIMAT0004694	0.00426397906773912	0.00795755968169761	0.229483352485032	1
MI0000270_MIMAT0022692	0.00426397906773912	0	0.407202591929041	1
MI0002465_MIMAT0002171	0.00416707045256323	0	0.405653674638834	1
MI0017343_MIMAT0019814	0.00416707045256323	0.0026525198938992	1	1
MI0000472_MIMAT0004604	0.00407016183738734	0	0.404488086593098	1
MI0003129_MIMAT0004766	0.00397325322221145	0	0.403724963765389	1
MI0000068_MIMAT0000067	0.00387634460703557	0	0.403383929269834	1
MI0000067_MIMAT0000067	0.00387634460703557	0	0.403383929269834	1
MI0000473_MIMAT0000242	0.00387634460703557	0	0.403383929269834	1
MI0000253_MIMAT0004549	0.00387634460703557	0	0.403383929269834	1
MI0000084_MIMAT0000083	0.00377943599185968	0	0.648033609883206	1
MI0000090_MIMAT0000090	0.00377943599185968	0	0.648033609883206	1
MI0000482_MIMAT0000455	0.00368252737668379	0	0.644517439331712	1
MI0000816_MIMAT0004703	0.00368252737668379	0.0026525198938992	1	1
MI0002469_MIMAT0002176	0.0035856187615079	0	0.641216011290885	1
MI0005563_MIMAT0004952	0.0035856187615079	0	0.641216011290885	1
MI0000103_MIMAT0000099	0.00348871014633201	0	0.638149674889858	1
MI0003602_MIMAT0004801	0.00348871014633201	0	0.638149674889858	1
MI0015825_MIMAT0016847	0.00348871014633201	0.0424403183023873	1.34561979633203e-11	1.81995077453906e-09
MI0000441_MIMAT0000420	0.00348871014633201	0	0.638149674889858	1
MI0000739_MIMAT0000099	0.00339180153115612	0	0.63533997445046	1
