1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
LT280560LU	3360	1018	1701	3771	13615	23821	26641	45508	51590	46942	39477	35992	38433	43206	42752	56363	201056	803779	124026	1056908	829314	2273523	684651	484806	24596	24910	32037	30082	35886	30575	29174	15525	560	0	530453
LT207073RU	2201	640	1327	3837	11549	19720	22984	37152	37150	38469	29265	27987	29824	38241	31095	30035	33617	94341	87133	925133	661282	1650139	505983	352333	18606	14424	20632	22730	27811	24309	13450	4478	400	0	180120
LT191020LI	6779	1562	3148	2684	6431	13677	20458	47910	69309	61950	47066	47290	48554	70987	69915	89956	291859	1132760	198165	1578875	1109047	4679172	1640969	727733	49234	54087	77129	69997	89748	89426	105707	12324	662	0	1766050
LT030662LL	4916	953	2291	2507	8059	20734	30957	62792	81757	91058	69014	71445	75381	74098	101957	103420	335323	1171059	208743	2372742	1265429	4010992	1219361	772567	46995	55566	74931	70560	81548	74662	56455	15028	997	0	1659622
LT009099RL	7475	1415	4690	30824	8782	22262	28945	43561	73370	80689	50502	44800	53258	81676	84456	164810	825316	3434155	369485	2017512	1193005	4663199	1303802	1066090	50876	86388	100536	60606	93554	158263	430766	39588	794	0	4338455
LT075917RU	161	117	147	154	151	211	611	579	609	336	366	468	555	674	549	2844	8660	7126	782	2599	1746	4930	1527	1263	645	557	639	824	3383	501	427	120	5	0	9298
LT147610LL	2648	500	1126	832	2683	7525	11558	20389	26172	30043	25233	25799	28733	37264	36722	40343	151895	580778	102468	852813	531604	2388751	602411	546274	24608	23352	30895	29699	47541	27015	25895	5775	667	0	586513
LT195484RU	2196	2203	2176	2061	1937	2087	2053	2322	2286	1982	2108	2028	2062	1918	1959	2007	1948	2274	2080	3214	2766	4742	2685	2479	1796	1831	1683	1136	2159	2834	3300	2346	298	0	407477
LT089723LL	7468	2224	2877	2625	7061	13034	16401	33069	55277	52651	38392	39619	46530	66813	66983	85628	153591	491535	186026	1868072	1123945	4058962	1291520	732588	54419	48758	62220	58787	58056	53942	53049	7308	1048	0	997426
LT082461RL	3666	663	1743	1146	5060	11606	9983	18470	24716	27216	23643	22206	27244	45344	37228	50845	206175	765063	102246	720734	567575	1885201	586116	600092	25186	22891	35388	30599	49716	37174	45016	9835	463	0	1205629
LT151920RL	4528	740	2389	1344	3796	8921	13103	25803	58489	37576	30166	28133	31960	50604	41135	68179	168778	583693	163016	1663561	1055133	3641891	1236146	595175	35164	35928	57842	39509	46885	42513	52246	7691	1024	0	1049621
LT203431RL	7081	1086	2270	1754	5915	14899	14902	20852	35595	44591	26547	22040	30228	50665	55765	103521	598383	2688584	270334	486564	431776	1741184	499699	422009	26814	42371	83739	57886	85503	110856	118546	23650	369	0	5529372
LT115840LL	4294	1524	1579	1939	5832	9740	11980	23973	33056	32956	28352	31831	33459	40815	40502	52948	112682	395741	89132	726492	403389	1302199	438305	244481	25653	26270	27207	21723	25780	30513	33220	6882	234	0	743529
LT005256RL	1253	244	492	758	3396	9023	13314	20508	24396	27844	24583	26231	27065	31125	32962	45132	388902	1525831	117123	349480	224637	930435	203953	173565	13338	24291	22976	19823	34809	30130	35647	9895	453	0	1600083
