1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
LT000216LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22566	31452	95679	73514	73379	654028	596332	2081793	492487	556252	18475	13610	24461	26749	27951	20527	23681	10366	41	0	109609
LT004173LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24375	28719	35597	45091	95605	1128859	847387	1911671	502061	277743	22492	10149	19635	22987	22210	29328	16346	1414	93	0	101853
LT139649RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20909	36000	115571	66524	81626	696156	584102	1710764	593899	369177	12953	11312	26963	30907	29791	32498	33350	8390	28	0	153283
LT081282RM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17144	32175	83147	50480	88067	891642	636003	1992436	626827	447732	16545	9288	23746	25359	22914	21207	17066	3738	26	0	112667
LT084406RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36647	52962	375947	181774	101187	745848	650287	2277124	606744	563574	26512	34348	38165	34404	33280	26187	73705	35470	78	0	229891
LT192758RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20523	31140	53561	42761	55996	371797	415875	1285510	388049	413397	13008	9779	24361	31212	29324	28053	19571	5505	27	0	114343
LT287158LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29002	36499	230391	91264	76048	680849	532729	2088953	434092	255369	11414	11756	23372	28457	29651	30219	25831	11733	25	0	102868
LT241811LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18031	32973	57886	53523	82283	980172	759137	2355350	723884	502199	15289	12688	27559	30650	26668	26748	19401	6710	41	0	128458
LT233620RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14907	28783	37389	39893	86647	1016258	770384	2193960	706920	471435	14566	11501	26877	27331	23119	25538	16419	2660	27	0	130535
LT140046RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22830	33345	69021	55101	97359	1066778	781034	2366428	591200	449759	14091	10754	25606	28949	27014	22592	16801	6233	26	0	109616
LT236045LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28320	38965	341595	117249	98260	796560	726352	2500098	496947	292229	12072	16787	26548	29474	34208	35741	41812	20106	31	0	119993
LT056301LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24631	29938	89800	70943	76168	763340	628975	2230716	520057	390221	12660	13778	23700	26825	27141	35283	25531	7063	73	0	126749
LT280560LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26726	36191	190962	85572	97439	1040027	809524	2217783	608077	453734	14400	13742	24514	23926	26055	22802	25581	13752	39	0	97676
LT207073RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20343	22794	29251	37049	77278	912966	646724	1614761	438673	327299	10920	6772	15619	17902	17853	19955	11331	3437	33	0	80984
LT191020LI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47402	60523	278496	131750	144984	1553777	1082532	4618733	1567273	657810	27038	29631	63540	59044	65542	67983	97554	9395	56	0	383946
LT030662LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70759	75176	321030	130252	170261	2336513	1232675	3932928	1130255	716862	26830	29524	57886	54704	57637	58294	48164	11557	83	0	345150
LT009099RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54677	87682	799871	309138	203918	2000423	1170848	4595972	1239818	1012453	33154	65110	86189	50090	56383	89846	415312	34518	125	0	482252
LT075917RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	2703	8387	882	583	2529	1654	4815	1382	1071	480	495	586	778	3328	426	395	108	3	0	6921
LT147610LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24252	27695	145866	81311	70168	840252	519682	2367325	568676	521488	14982	12061	23616	23559	24979	18925	22938	4264	24	0	173722
LT195484RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1003	1224	1159	1536	1264	1889	1042	3046	851	492	32	52	30	42	28	24	38	5	0	0	858
LT089723LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42839	63943	140196	98244	152813	1843553	1097185	4003813	1211173	668429	26450	23176	47475	44032	41317	41194	45559	3856	51	0	331862
LT082461RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25232	32781	198973	86350	74709	710913	556976	1862648	556442	575953	16528	13879	28679	25423	24805	27164	41462	8269	52	0	213581
LT151920RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27219	48582	159930	91995	131627	1643989	1033614	3600028	1175450	546622	18184	17197	45996	28464	27897	29164	46989	5191	41	0	274737
LT203431RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38766	58644	582038	227916	99691	478202	422226	1718186	474880	395827	17426	30370	73108	50726	58165	80276	105304	19730	51	0	448755
LT115840LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24092	38521	103815	57235	66243	714693	390241	1270728	405102	216616	12379	12689	20416	16339	17256	21253	28860	5127	23	0	130929
LT005256RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23057	23228	381506	173477	51108	339236	214962	919218	187220	162488	7067	12758	14731	13222	21693	18066	31623	8440	12	0	103957
LT279828RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18150	22777	190208	49787	64817	605176	358094	1385734	218820	118784	5807	6927	15973	15146	14043	18698	21452	3432	30	0	99539
LT162479RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20954	32891	99430	59708	92047	1114565	539481	1849856	438353	232636	8405	8944	20499	16989	16207	16852	21796	3769	28	0	133866
LT244399LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14312	22235	22176	24704	48302	598029	363206	1137901	368838	379984	11987	5757	16170	14649	12793	16821	10103	1173	23	0	131600
LT051993RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14742	22562	29943	28166	54074	573759	325074	1173490	334433	174705	6191	5296	18483	15128	14165	18614	12618	988	20	1	123307
LT191675RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11752	14852	127456	62185	37343	380505	225643	964885	189525	235798	7765	7736	9368	9091	10888	9418	18759	4682	21	0	69790
LT266817LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9784	12842	86994	37532	35942	390483	235255	910475	174225	153412	4765	3702	7824	7329	8044	8718	8886	1912	12	0	59925
LT198741LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17763	19255	20197	25358	48953	616938	321193	987839	351988	178518	6154	3894	12274	11521	12507	13548	6169	675	10	0	81981
LT115251RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27675	36593	663436	216567	88507	594936	331366	1202227	283195	211647	12975	15234	25515	18923	17098	19616	67688	17660	42	0	343216
LT245983LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34551	58409	226552	128069	140022	1346679	1390526	4271861	1419664	1125205	35216	26148	63090	65108	62207	45873	47699	32336	60	0	386281
LT269763RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44187	50120	106413	104266	282427	3570890	2248878	5565219	937875	505330	23306	20202	49273	55433	56285	60058	30557	3626	221	1	361888
LT263636RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33356	50933	540842	259443	130264	876081	887667	2960618	802297	538987	24056	28674	54906	48711	52044	42783	64544	23525	65	0	319564
LT238531RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53437	62147	251144	124216	151654	1174827	1171694	5481614	1281148	905344	31376	20159	57312	58554	56890	66179	48643	8530	79	0	340008
LT155318RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41872	52944	686923	264119	162102	1369579	1105660	4225048	748079	518957	20126	21785	45422	50429	58772	58533	67692	28644	48	0	290975
